position,predictor
1,dx_A150
2,dx_A154
3,dx_A155
4,dx_A156
5,dx_A157
6,dx_A158
7,dx_A159
8,dx_A170
9,dx_A171
10,dx_A1781
11,dx_A1782
12,dx_A1789
13,dx_A179
14,dx_A1801
15,dx_A1802
16,dx_A1803
17,dx_A1809
18,dx_A1810
19,dx_A1811
20,dx_A1813
21,dx_A1817
22,dx_A1818
23,dx_A182
24,dx_A1831
25,dx_A1832
26,dx_A1839
27,dx_A184
28,dx_A1850
29,dx_A1851
30,dx_A1852
31,dx_A1853
32,dx_A1854
33,dx_A1859
34,dx_A186
35,dx_A1884
36,dx_A1885
37,dx_A1889
38,dx_A191
39,dx_A192
40,dx_A198
41,dx_A199
42,dx_A305
43,dx_A309
44,dx_A50
45,dx_A5001
46,dx_A5002
47,dx_A5004
48,dx_A5005
49,dx_A5006
50,dx_A5008
51,dx_A5009
52,dx_A501
53,dx_A502
54,dx_A5031
55,dx_A5040
56,dx_A5041
57,dx_A5044
58,dx_A5049
59,dx_A5051
60,dx_A5052
61,dx_A5057
62,dx_A5059
63,dx_A506
64,dx_A507
65,dx_A509
66,dx_A5145
67,dx_A5203
68,dx_A5209
69,dx_A5210
70,dx_A5211
71,dx_A5212
72,dx_A5216
73,dx_A5217
74,dx_A5219
75,dx_A522
76,dx_A523
77,dx_A5271
78,dx_A5273
79,dx_A5274
80,dx_A5275
81,dx_A5277
82,dx_A5279
83,dx_A528
84,dx_A530
85,dx_A539
86,dx_A5442
87,dx_A8030
88,dx_A8039
89,dx_A804
90,dx_A809
91,dx_A8100
92,dx_A8101
93,dx_A811
94,dx_A812
95,dx_A8182
96,dx_A8189
97,dx_A819
98,dx_A925
99,dx_B1001
100,dx_B1009
101,dx_B180
102,dx_B181
103,dx_B182
104,dx_B188
105,dx_B189
106,dx_B1910
107,dx_B1911
108,dx_B1920
109,dx_B1921
110,dx_B199
111,dx_B20
112,dx_B251
113,dx_B3321
114,dx_B376
115,dx_B900
116,dx_B909
117,dx_B91
118,dx_B9735
119,dx_C000
120,dx_C001
121,dx_C003
122,dx_C004
123,dx_C009
124,dx_C01
125,dx_C020
126,dx_C021
127,dx_C022
128,dx_C023
129,dx_C024
130,dx_C028
131,dx_C029
132,dx_C030
133,dx_C031
134,dx_C039
135,dx_C040
136,dx_C041
137,dx_C048
138,dx_C049
139,dx_C050
140,dx_C051
141,dx_C052
142,dx_C058
143,dx_C059
144,dx_C060
145,dx_C061
146,dx_C062
147,dx_C0689
148,dx_C069
149,dx_C07
150,dx_C080
151,dx_C081
152,dx_C089
153,dx_C091
154,dx_C098
155,dx_C099
156,dx_C100
157,dx_C101
158,dx_C102
159,dx_C103
160,dx_C108
161,dx_C109
162,dx_C110
163,dx_C111
164,dx_C112
165,dx_C113
166,dx_C118
167,dx_C119
168,dx_C12
169,dx_C130
170,dx_C131
171,dx_C132
172,dx_C138
173,dx_C139
174,dx_C140
175,dx_C142
176,dx_C148
177,dx_C155
178,dx_C158
179,dx_C159
180,dx_C160
181,dx_C161
182,dx_C162
183,dx_C163
184,dx_C168
185,dx_C169
186,dx_C170
187,dx_C171
188,dx_C172
189,dx_C173
190,dx_C179
191,dx_C180
192,dx_C181
193,dx_C182
194,dx_C183
195,dx_C184
196,dx_C185
197,dx_C186
198,dx_C187
199,dx_C188
200,dx_C189
201,dx_C19
202,dx_C20
203,dx_C210
204,dx_C211
205,dx_C218
206,dx_C220
207,dx_C221
208,dx_C222
209,dx_C223
210,dx_C224
211,dx_C227
212,dx_C228
213,dx_C229
214,dx_C23
215,dx_C240
216,dx_C241
217,dx_C248
218,dx_C249
219,dx_C250
220,dx_C251
221,dx_C252
222,dx_C254
223,dx_C257
224,dx_C258
225,dx_C259
226,dx_C260
227,dx_C261
228,dx_C269
229,dx_C30
230,dx_C300
231,dx_C301
232,dx_C310
233,dx_C311
234,dx_C312
235,dx_C313
236,dx_C318
237,dx_C319
238,dx_C320
239,dx_C321
240,dx_C323
241,dx_C329
